Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Species
6.4,3.5,1.8,0.2,Burwood
6.4,3.5,1.8,0.2,Burwood
6.4,3.5,1.8,0.2,Burwood
6.4,3.5,1.8,0.2,Burwood
6.4,3.5,1.8,0.2,Burwood
6.4,3.5,1.8,0.2,Burwood
6.4,3.5,1.8,0.2,Burwood
6.4,3.5,1.8,0.4,Burwood
6.4,3.5,1.8,0.4,Burwood
6.4,3.5,1.8,0.4,Burwood
6.4,3.5,1.8,0.4,Burwood
6.4,3.5,2.7,0.4,Burwood
6.4,3.5,2.7,0.4,Burwood
7.8,3.5,2.7,0.4,Burwood
7.8,3.5,2.7,0.4,Burwood
7.8,3.5,2.7,0.6,Burwood
7.8,3.5,2.7,0.6,Burwood
7.8,3.8,2.7,0.6,Burwood
7.8,3.8,2.7,0.6,Burwood
7.8,3.8,2.7,0.6,Burwood
7.8,3.8,2.7,0.6,Burwood
7.8,3.8,2.7,0.6,Burwood
7.8,3.8,2.7,0.6,Burwood
7.8,3.8,3.6,0.2,Burwood
7.8,3.8,3.6,0.2,Burwood
7.8,3.8,3.6,0.2,Burwood
7.8,3.8,3.6,0.2,Burwood
7.8,3.8,3.6,0.2,Burwood
7.8,3.8,3.6,0.2,Burwood
7.8,3.8,3.6,0.2,Burwood
7.8,2.9,3.6,0.2,Burwood
7.8,2.9,3.6,0.2,Burwood
9.1,2.9,3.6,0.2,Burwood
9.1,2.9,2.9,0.2,Burwood
9.1,2.9,2.9,0.2,Burwood
9.1,2.9,2.9,0.2,Burwood
9.1,2.9,2.9,0.7,Burwood
9.1,2.9,2.9,0.7,Burwood
9.1,2.9,2.9,0.7,Burwood
9.1,2.9,2.9,0.7,Burwood
9.1,2.9,2.9,0.7,Burwood
9.1,2.9,2.9,0.7,Burwood
9.1,2.9,2.9,0.7,Burwood
9.1,2.9,2.9,0.7,Burwood
9.1,2.9,2.9,0.7,Burwood
9.1,2.9,2.9,0.7,Burwood
9.1,2.9,2.9,0.7,Burwood
